Name	Description	sw480.1	sw480.2	sw480.3	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3
NR_046018	DDX11L1	0.029243076	0	0.028824676	0	0	0	0.028770769	0.032628961	0
NR_024540	WASH7P	10.02239037	9.784377098	10.25584888	8.056397438	7.294953823	7.735621452	7.65735054	9.202215195	8.199276924
NR_039983	LOC729737	0.30888465	0.28106305	0.260970205	0.572778344	0.510475159	0.507493436	0.26916489	0.167400762	0.259120047
NR_028325	LOC100132062	0.077383734	0.022004278	0.032689955	0.043483656	0.034878399	0.011772265	0.032628816	0.037004378	0.020940773
NR_033908	LOC100288069	4.686485291	5.611010075	4.75836277	3.776908636	3.001678944	3.752355576	3.882773399	3.853025436	3.037022829
NR_024321	LINC00115	1.063763976	0.876161158	0.759290516	1.839635849	1.543088675	2.031229496	0.938315809	0.818573117	0.868557096
NR_047519	LOC643837	1.611269355	1.454584718	1.735793352	1.942020655	1.941972375	2.330807447	1.592259884	1.384169102	1.458560586
NR_027055	FAM41C	1.019428015	0.817292571	0.725719512	0.807544529	1.042331219	1.296674252	0.417901337	0.821500123	0.56322819
NR_026874	LOC100130417	0	0.096934162	0	0	0	0	0	0	0.092249162
NM_152486	SAMD11	6.487932682	5.214557171	5.854411602	9.65370369	8.076475143	9.044132233	4.857145786	5.297441006	5.37457943
NM_015658	NOC2L	64.26896667	61.73044586	68.80853271	96.72538757	93.39268494	94.95239258	55.82995987	60.64092255	55.38059998
NM_198317	KLHL17	5.407505512	4.650420189	4.512973309	6.243949413	5.409552574	5.918960571	3.040096283	3.195500374	2.96233511
NM_032129	PLEKHN1	2.757670641	2.664397001	2.281713247	4.275530338	3.556433916	4.094148159	1.445683122	1.909065962	1.792093635
NR_027693	C1orf170	0.762782514	0.695885241	0.548237741	0.718839169	0.668502629	0.964589894	0.547212422	0.531937957	0.526791275
NM_001142467	HES4	4.421394825	4.029771805	4.220510483	4.119008064	3.915699244	3.518863678	1.694204688	2.544555902	1.939543128
NM_005101	ISG15	40.11289215	39.05544281	33.24705505	66.33705902	70.64044952	67.2798996	27.97520638	28.65116882	29.54189491
NM_198576	AGRN	75.23392487	66.58654022	65.98061371	55.61159134	47.8657341	48.5446167	41.43081284	44.30114746	42.40791702
NM_001205252	RNF223	0.043056652	0.085702933	0.084881224	0.169361472	0.226409078	0.183403909	0	0.048041929	0.081560761
NM_017891	C1orf159	8.449580193	6.3983922	7.310233593	9.708903313	7.920357227	7.775400639	4.382455349	5.12386322	4.980051517
NR_038869	LOC254099	0	0	0.029430384	0.088082619	0.125602454	0.031795297	0.029375343	0	0
NR_029639	MIR200B	0	0	0	0	0	0	0	0	0
NR_029834	MIR200A	0	0	0	0	0	0	0	0	0
NR_029957	MIR429	0	0	0	0	0	0	0	0	0
NM_001130045	TTLL10	0.042770747	0.042566929	0	0.042059224	0.02249057	0.045546521	0.021039976	0	0
NM_004195	TNFRSF18	1.247996926	1.282115817	0.952367306	4.869353771	4.022157192	4.072712898	1.386271477	1.122979999	1.677704692
NM_003327	TNFRSF4	0.043758661	0	0	0	0.138060331	0.093197092	0	0	0
NM_016547	SDF4	62.5222435	51.96976852	52.22874832	67.88143158	64.16123962	64.26990509	38.8148613	42.25514603	39.61346436
NM_080605	B3GALT6	15.67638302	13.10472012	12.75735474	15.73887825	14.88519764	14.57479668	8.307415009	9.61451149	8.030171394
NM_001014980	FAM132A	0.509496808	0.322680175	0.319586337	0.136642069	0.048711598	0.098647736	0.182279229	0.258403838	0.263215274
NM_194458	UBE2J2	27.17791939	20.36680603	22.84246445	31.93573189	29.9435463	27.80043221	18.97989082	18.47910881	17.92684364
NM_001130413	SCNN1D	1.961488366	2.440176487	1.605989337	0.855541646	0.632166207	0.774872482	0.871526301	1.359048605	1.048752904
NM_030649	ACAP3	11.12957668	9.337036133	8.778804779	10.12296295	9.069155693	10.12746716	5.854234695	6.209102631	5.441007137
NM_153339	PUSL1	13.36304855	11.90351486	10.29171085	24.32761192	21.42874336	20.16304016	10.46411324	9.693854332	9.224916458
NM_001256456	CPSF3L	33.35178757	33.3391571	33.65345001	38.59740829	37.49106979	38.09928513	25.83468246	25.93661118	25.67116547
NM_001029885	GLTPD1	11.25681019	8.528437614	9.293505669	18.2614975	16.10136986	15.13082218	7.238845825	7.668832302	6.655736923
NM_152228	TAS1R3	0.075513184	0.018788334	0.074432768	0.167078167	0.059561774	0.04020695	0.111440338	0.084256418	0.017880261
NM_004421	DVL1	23.47738838	21.9842968	21.46409035	34.5246315	29.9728756	29.99773407	16.95385361	18.06599998	17.29135513
NM_032348	MXRA8	1.466502309	1.565275788	1.466469646	0.982303977	0.737617493	0.860053778	0.878236234	0.592862308	0.764941633
NM_017900	AURKAIP1	115.4061737	90.28232574	100.3352661	138.007019	125.1679916	119.7260666	79.50357056	83.2502594	83.56171417
NM_030937	CCNL2	32.4131546	34.00282288	32.04111862	35.03083038	30.0433445	32.91476059	22.42956161	23.18782616	21.98912048
NR_015434	LOC148413	14.95164204	15.29297161	15.82738495	13.12662888	15.63714695	13.95013332	12.09985256	13.13655376	12.69534302
NM_017971	MRPL20	76.38578796	83.8928833	86.01189423	109.140419	114.5738678	109.4868851	71.84512329	75.59662628	78.40248108
