	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3	sw480-1	sw480-2	sw480-3	cds_length	gene_name
NM_000014	1	1	3	1	2	2	3	2	2	4653	A2M
NM_000015	1	0	0	0	2	1	1	3	1	1317	NAT2
NM_000016	1038	1126	1098	1285	1037	1306	1022	1059	1057	2603	ACADM
NM_000017	133	111	103	171	136	174	143	147	125	1917	ACADS
NM_000018	8699	8232	8364	8888	8426	9188	10982	10844	11450	2292	ACADVL
NM_000019	2094	2070	1879	2645	2248	2775	2132	2164	2087	2134	ACAT1
NM_000020	6	1	9	2	3	1	6	4	8	4263	ACVRL1
NM_000021	1468	1467	1405	1658	1293	1692	1557	1557	1635	6090	PSEN1
NM_000022	454	406	404	198	176	204	260	222	202	1532	ADA
NM_000024	70	71	69	5	6	5	5	8	9	2042	ADRB2
NM_000026	2327	2265	2115	2258	2009	2292	2139	2059	2207	1563	ADSL
NM_000027	59	55	57	80	61	58	104	102	102	2102	AGA
NM_000028	578	598	586	625	536	670	579	654	610	7449	AGL
NM_000031	306	286	274	349	280	359	441	478	456	3183	ALAD
NM_000032	1	1	1	1	2	3	0	0	2	2027	ALAS2
NM_000033	469	378	365	1014	890	999	1222	1033	974	3664	ABCD1
NM_000034	18063	16566	16694	18924	17254	18942	18333	16073	17764	2390	ALDOA
NM_000037	58	54	34	21	29	41	52	55	39	8292	ANK1
NM_000038	2721	2519	2390	896	753	951	865	926	959	10730	APC
NM_000041	389	404	358	133	120	138	130	107	83	1180	APOE
NM_000043	638	636	581	571	504	636	421	450	425	2689	FAS
NM_000044	55	69	57	401	347	426	305	356	319	10656	AR
NM_000045	0	0	0	0	0	1	0	1	0	1472	ARG1
NM_000046	273	272	264	228	183	222	216	211	200	6071	ARSB
NM_000048	699	677	637	614	516	629	613	604	553	1936	ASL
NM_000050	2327	2218	2271	3693	3206	3812	1588	1642	1556	1848	ASS1
NM_000051	1596	1477	1507	1844	1498	2018	1767	1962	1801	13147	ATM
NM_000052	198	221	198	217	200	226	210	254	192	8488	ATP7A
NM_000053	265	256	229	247	237	272	284	309	305	6641	ATP7B
NM_000054	21	17	16	8	12	13	15	14	12	1625	AVPR2
NM_000056	339	352	318	315	291	319	327	319	295	1550	BCKDHB
